Identity number,Village,Mum's status,Village status,My notes,Timestamp,Name,Neighbourhood,Street address,Transport,Language,Phone number,Email,worries,hopes,questions,travel time,amount of children,Date of birth,Older child,source
A129,,,,,2026-06-01 10:00:00,Roosa,Soukka,Yläkartanontie 66,"bicycle, public transport","Finnish, English",+358 40 202 1551,,,,Can I join if I move in spring?,45 min,1,2026-03-21,,Doula
A130,,,,,2026-06-01 10:00:00,Noora,Leppävaara,Sellonkuja 60,"walk, bus, car","Finnish, English, Swedish",0412029470,,Feeling isolated on parental leave,Just someone to talk to,How often do groups meet?,20,2,2025-09-25,04.2023,Friend
A131,,,,,2026-06-01 10:00:00,Grace,Pihlajamäki,Liusketie 59,car,English,0502037389,,Language barrier at the playground,,Are meetings in Finnish or English?,35,1,2026-04-18,,Friend
A132,,,,,2026-06-01 10:00:00,Ruth,Kruununhaka,Liisankatu 63,tram,"English, Finnish",+358402045308,,,A group that meets at weekends,,Doesn't matter,1,2024-07-12,,Family clinic
A133,,,,,2026-06-01 10:00:00,Siiri,Sipoo,Söderkullantie 53,"tram, walk","Finnish, English",0402053227,,"Struggling with sleep, wants company",Someone in the same situation,How often do groups meet?,15,2,2026-03-25,02.2023,Family clinic
A134,,,,,2026-06-01 10:00:00,Fatima,Munkkiniemi,Munkkiniemen puistotie 51,car,"Arabic, English, Finnish",0412061146,,Worried about winter with a newborn,Just someone to talk to,Is it free?,20,2,2024-08-11,11.2022,Instagram
A135,,,,,2026-06-01 10:00:00,Nour,Vihti,Nummelantie 63,train,"Arabic, English, Finnish",0442069065,,,Evening meetups after partner is home,,30,1,2024-10-07,,Peer group
A136,,,,,2026-06-01 10:00:00,Léa,Malmi,Malminkaari 64,public transport,"French, English",0502076984,,Language barrier at the playground,Outdoor walks with prams,How often do groups meet?,60,1,2025-10-16,,Neuvola
A137,,,,,2026-06-01 10:00:00,Vlora,Pihlajamäki,Moreenitie 11,tram,"Albanian, English, Finnish",0442084903,,Moved here recently for work,,,20,1,2026-05-02,,Neuvola
A138,,,,,2026-06-01 10:00:00,Kanya,Kirkkonummi,Asemantie 24,tram,"Thai, English",0412092822,,,Friends for the baby too,How often do groups meet?,10,2,2025-01-27,09.2022,Doula
A139,,,,,2026-06-01 10:00:00,Carmen,Lauttasaari,Gyldenintie 62,"bicycle, public transport","Spanish, English, Finnish",0412100741,,Worried about winter with a newborn,Outdoor walks with prams,Can I join if I move in spring?,30 minutes,1,2026-09-13,,Instagram
A140,,,,,2026-06-01 10:00:00,Jasmine,Itäkeskus,Turunlinnantie 20,walk,"Tagalog, English",0502108660,,Shy about meeting new people,Weekly meetups,Is it free?,Doesn't matter,1,2026-07-07,,Doula
A141,,,,,2026-06-01 10:00:00,Andreea,Malmi,Kirkonkyläntie 34,"walk, bus","Romanian, English, Finnish",0452116579,,"Struggling with sleep, wants company",,,45,1,2025-02-02,,Word of mouth
A142,,,,,2026-06-01 10:00:00,Oona,Loviisa,Kuningattarenkatu 54,"train, walk","Finnish, English",0402124498,,,,,60,1,2026-05-23,,Word of mouth
A143,,,,,2026-06-01 10:00:00,Xia,Soukka,Soukanahde 13,bicycle,"Chinese, Finnish",0452132417,,"New to Finland, doesn't know anyone yet",Someone within walking distance,,30,4,2026-07-16,09.2023,Peer group
A144,,,,,2026-06-01 10:00:00,Amira,Oulunkylä,Mäkitorpantie 28,public transport,"Arabic, Finnish",+358 50 214 0336,,"Struggling with sleep, wants company",Coffee walks,Can toddlers join too?,about 20 min,2,2025-08-08,05.2023,Instagram
A145,,,,,2026-06-01 10:00:00,Outi,Kallio,Fleminginkatu 9,skateboard,Finnish,0401234516,,,,,15,1,2025-11-04,,Neuvola
,,,,,2026-06-01 10:00:00,Tuula,Töölö,Museokatu 2,car,Finnish,123,,,,,many,1,32.13.2025,,Neuvola
A147,,,,,2026-06-01 10:00:00,Riikka,,,"bus, walk",,0401234518,,,,,12,1,,,Friend
A148,,,,,2026-06-01 10:00:00,Weronika,Tikkurila,Kielotie 14,"hoverboard, bus","Polish, English",0451234148,,,,,200,2,2025-03-12,09.2021,Facebook
A149,,,,,2026-06-01 10:00:00,,Leppävaara,Sellonkuja 4,car,"Estonian, Finnish",+358 45 999 0149,,,,,25,1,2019-02-01,,Neuvola
A150,,,,,2026-06-01 10:00:00,Beatrice,Porvoo,Jokikatu 11,,"Italian, English",,,,,,,1,2026-01-20,,Library
